featureID,CDMM_A,CDMM_B,CDMM_C,IEC_A,IEC_B,IEC_C
gene-CDR20291_0006,1690.51,1549.53,1787.12,4940.29,5046.47,4665.35
gene-CDR20291_0007,12159.07,12163.24,13388.97,25800.21,28658.68,26501.12
gene-CDR20291_0008,5230.86,5982.38,5996.28,4154.32,6478.67,5706.46
gene-CDR20291_0009,188.77,210.6,206.64,726.4,837.44,734.35
gene-CDR20291_0010,139906.91,136684.8,164054.47,111982.61,139212.84,121661.28
gene-CDR20291_0011,1370.18,1271.81,1478.97,2231.29,3423.03,3091.87
gene-CDR20291_0012,2238.52,2519.73,2510.69,2451.95,3043.39,3042.2
gene-CDR20291_0013,4877.74,5348.6,4994.31,5590.62,7709.52,7364.77
gene-CDR20291_0014,13626.21,14245.3,13785.12,13487.44,18473.14,17979.43
gene-CDR20291_0015,50618.39,49751.2,46310.81,46089.49,57209.32,55119.74
gene-CDR20291_0016,5845.91,6463.58,5993,5861.92,7018.92,6167.92
gene-CDR20291_0017,1186.62,1216.98,1311.33,1996.59,2110.49,1997.09
gene-CDR20291_0018,19204.34,20168.17,20625.41,7298.45,8251.74,7198.03
gene-CDR20291_0019,7297.5,8133.4,9105.29,3734.13,4255.04,3634.27
gene-CDR20291_0020,108.27,133.79,151.21,181.42,319.26,281.6
gene-CDR20291_0021,27.17,25.42,30.84,37.27,41.84,38.39
gene-CDR20291_0022,60.74,49.44,56.31,86.13,127.15,109.8
gene-CDR20291_0023,103,127.45,113.71,134.49,203.82,171.42
gene-CDR20291_0024,207.91,186.38,209.92,581.45,644.13,681.35
gene-CDR20291_0025,562.71,424.57,523.94,1037.83,1274.82,1200.94
gene-CDR20291_0026,831.6,714.72,869.74,1787.42,2288.04,2140.25
gene-CDR20291_0027,671.11,686.59,769.69,1620.54,2005.14,1907.3
gene-CDR20291_0028,842.4,744.65,952.01,1914.46,2484.32,2277.93
gene-CDR20291_0029,145.92,189.72,224.85,247.23,330.61,288.85
gene-CDR20291_0030,16.57,15.79,17.97,18.46,18.43,25.39
gene-CDR20291_0031,17.31,14.77,21.12,29.31,40.13,41.24
gene-CDR20291_0032,50.65,53.46,53.99,110.36,159.94,126.87
gene-CDR20291_0033,1.68,11.98,9.45,6.29,8.46,4.62
gene-CDR20291_0034,26.91,28.3,16.27,40.65,67.89,61.04
gene-CDR20291_0035,385.78,382.41,430.45,366.98,559.34,453.61
gene-CDR20291_0036,903.43,988.38,1056.17,1001.27,1296.7,1138.93
gene-CDR20291_0037,1177.5,1231.02,1392.15,1096.61,1557.23,1308.02
gene-CDR20291_0038,14052.49,14728.9,15382.87,20833.64,26623.35,23621.03
gene-CDR20291_0039,25003.23,23356.54,25752.01,30240.61,34634.16,31003.51
gene-CDR20291_0040,10232.4,9889.58,12295.73,9807.17,11485.42,10121.41
gene-CDR20291_0041,55719.91,59315.88,58494.95,35706.48,46194.43,42579.81
gene-CDR20291_0042,29454.44,30977.21,30030.57,19308.23,24700.49,21682.31
gene-CDR20291_0043,14267.91,15639.77,15708.26,10216.57,12502.95,11471.6
gene-CDR20291_0044,1582.13,1414.38,1721.06,1383.85,1413.18,1154.55
gene-CDR20291_0045,18821,20025.13,21707.21,13248.62,16373.08,14642.7
gene-CDR20291_0046,13180.83,13899.81,14997.59,9302.39,11372.73,9923.85
gene-CDR20291_0047,974.82,873.85,1015.12,665.85,690.31,602.1
gene-CDR20291_0048,19381.42,19837.02,21070.08,13036.67,15602.92,13111.91
gene-CDR20291_0049,9996.41,10139.85,11301.6,7100.26,8207.63,7285.05
gene-CDR20291_0050,14964.92,15410.01,17315.49,10002.13,11717.7,10350.09
gene-CDR20291_0051,180436.59,189889.59,212360.64,173081.66,192570.38,178382.97
gene-CDR20291_0052,11879.75,13521.54,13024.38,8199.44,10514.22,9632.08
gene-CDR20291_0053,20050.18,21971.18,21844.15,14119.83,17353.12,15449.64
gene-CDR20291_0054,27445.72,27790,29107.32,20422.42,22467.2,20464.75
gene-CDR20291_0055,52579.31,56995.88,57948.48,35270.03,44394.99,38734.14
gene-CDR20291_0056,75120.79,81653.53,88594.03,57001.91,69386.51,63121.03
gene-CDR20291_0057,36387.71,37342.51,40479.92,43852.91,52033.76,46474.7
gene-CDR20291_0058,21530.99,22078.18,23746.28,24536.79,29783.07,27720.13
gene-CDR20291_0059,15876.4,16597.69,14612.22,11149.16,14798.94,13280.03
gene-CDR20291_0060,37925.42,41235.34,46763.5,85425.29,95855.48,88550.6
gene-CDR20291_0061,92563.66,97240.91,110469.21,170940.62,198583.89,183284.86
gene-CDR20291_0062,52786.2,54738.75,56151.71,51374.45,59502.48,55483.51
gene-CDR20291_0063,27448.42,23835.84,26929.23,30420.43,28587.16,26431.15
gene-CDR20291_0064,314841.78,322949,365181.94,334484.59,388683.78,365952.53
gene-CDR20291_0065,205990.59,217354.28,243158.77,202098.92,226367.39,209348.75
gene-CDR20291_0066,80182.26,89921.01,89098.52,79779.7,98408.25,90078.27
gene-CDR20291_0067,85120.89,82219.6,89001.46,80977.62,83303.37,78515.16
gene-CDR20291_0068,103893.6,107994.96,113815.45,83631.98,94967.46,90010.32
gene-CDR20291_0069,57636.18,61327.2,59915.27,46333.29,54167.1,49445.87
gene-CDR20291_0070,135711.12,139435.2,147287.3,118679.75,125799.37,118970.88
gene-CDR20291_0071,61685.24,62257.01,67878.24,48038.11,54134.23,52820.1
gene-CDR20291_0072,69666.94,72447.79,74299.32,58854.73,59950.46,57750.49
gene-CDR20291_0073,82248.17,75311.09,89112.79,67180.95,67190.18,66087.91
gene-CDR20291_0074,85186.63,89025.73,95524.04,71721.16,78033.29,75845.19
gene-CDR20291_0075,49484.39,54945.11,58495,41692.62,47809.95,45871.55
gene-CDR20291_0076,67341.31,74431.23,79259.91,57438.23,65843.24,64509.54
gene-CDR20291_0077,74079.39,75543.7,85171.55,64069.05,70082.73,69810.5
gene-CDR20291_0078,51705.8,52094.82,60198.52,45279.4,47774.48,45551.14
gene-CDR20291_0079,70280.02,75496.14,81055.8,60591.17,61683.34,60849.82
gene-CDR20291_0080,25489.03,24881.93,28541.71,21762.11,23807.48,23959.31
gene-CDR20291_0081,46603.07,45846.61,53441.64,37274.45,42250.31,42906.05
gene-CDR20291_0082,81596.73,79527.12,89230.39,70584.72,68333.83,65292.51
gene-CDR20291_0083,54381.98,58501.24,61396.14,42893.17,46936.6,46630.66
gene-CDR20291_0084,51596.34,44034.52,50047.54,46291.18,42217.51,40608.22
gene-CDR20291_0085,25690.7,25181.98,29268.07,23711.27,23373.2,22744.2
gene-CDR20291_0086,65019.75,64229.68,71881.41,56555.93,62925.09,59443.66
gene-CDR20291_0087,180443.64,189513.09,198553.39,162174.09,195203.91,188359.58
gene-CDR20291_0088,64641.01,64632.86,72733.1,64410.25,69987.41,68964.24
gene-CDR20291_0089,66391.88,67830.12,75488.26,61813.95,70582.45,66869.34
gene-CDR20291_0090,13833.36,13384.43,15002.15,12843.64,14064.2,13989.24
gene-CDR20291_0091,25069.06,26365.3,28107.66,21315.48,24408.18,24372.1
gene-CDR20291_0092,6016.37,5941.04,6851.93,5106.16,5518.44,5613.86
gene-CDR20291_0093,25205.45,23758.13,27360.32,21812.08,24163.2,23265.8
gene-CDR20291_0094,133160.77,144811.06,153924.56,108130.16,132405.42,125387.26
gene-CDR20291_0095,137344.33,144082.11,158083.34,109269.59,133271.16,127238.83
gene-CDR20291_0096,122430.29,111744.19,127488.74,106692.03,103130.34,96332.09
gene-CDR20291_0097,29415.04,27007.87,33685.48,28542.76,26332.83,24858.52
gene-CDR20291_0098,2238.78,2271.98,2439.03,2125.26,2507.51,2194.06
gene-CDR20291_0099,1806.75,1794.92,2084.01,1996.67,2242.47,1998.14
gene-CDR20291_0100,2572.51,2851.21,3296.93,3221.44,3717.34,3277.19
gene-CDR20291_0101,3595.74,3830.42,4448.95,4108.38,5164.24,4392.26
gene-CDR20291_0102,27234.76,29161.18,30534.17,31031.16,38951.1,34362.57
gene-CDR20291_0103,25183.25,23746.9,26954.16,26421.49,29592.26,26530.16
gene-CDR20291_0104,426.51,517.62,536.68,751.24,933.54,877.42
gene-CDR20291_0105,18022.91,19593.74,20584.83,21624.59,32948.41,28126.36
gene-CDR20291_0106,25180.77,25918.81,31461.31,11138,14323.97,12218.36
gene-CDR20291_0107,5662.59,5720.35,7576.79,3398.94,4443.27,3763.84
gene-CDR20291_0108,979.55,1104.63,1052.26,1303.88,1547.87,1413.03
gene-CDR20291_0109,1807.23,1752.92,1911.3,2280.29,2883.04,2371.18
gene-CDR20291_0110,17.67,15.66,17.96,12.16,23.42,24.65
gene-CDR20291_0111,9241.49,9667.21,9375.44,6777.74,9209.72,8435.24
gene-CDR20291_0112,5320.31,5468.48,5832.01,5314.36,6482.49,5954.32
gene-CDR20291_0113,7755.48,7778.23,8650.56,8247.71,10938.52,10790.72
gene-CDR20291_0114,5376.05,5108.58,5263.41,7661.13,9836.65,9068.02
gene-CDR20291_0115,36074.18,35389.07,37058.69,44876.01,58390.31,54394.84
gene-CDR20291_0116,27374.24,26446.49,28644.38,32920.5,41022.72,38973.28
gene-CDR20291_0117,30923.1,31392.28,32285.19,35245.95,49373.45,45460.14
gene-CDR20291_0118,5406.36,5897.48,7202.55,12975.51,13731.78,12116.28
gene-CDR20291_0119,24964.19,27005.86,36237.25,61700.13,84323.89,77366.55
gene-CDR20291_0120,771.99,709.51,888.39,1263.72,1548.24,1486.33
gene-CDR20291_0121,1248.12,1386.96,1402.31,849.54,1378.84,1115.33
gene-CDR20291_0122,9040.45,9601.02,10611.8,12949.13,15483.46,14052.75
gene-CDR20291_0123,2154.79,2311.89,2644.88,2959.88,3355.24,3009.04
gene-CDR20291_0124,720.86,705.66,874.31,934.07,899.98,831.69
gene-CDR20291_0125,37.88,53.59,47.63,106.75,92.77,90.06
gene-CDR20291_0126,3316.17,3179.33,3249.74,2869.39,3199.22,2724.81
gene-CDR20291_0127,2265.34,2071.99,2207.15,1864.87,1973.91,1629.98
gene-CDR20291_0128,300.81,298.08,330.31,335.11,395.34,309.59
gene-CDR20291_0129,11652.21,11526.79,11382.63,10434.33,11364.17,9762.36
gene-CDR20291_0130,58.12,53.28,43.92,179.96,225.01,199.33
gene-CDR20291_0131,547.7,639.29,676.68,467.25,593.62,544.62
gene-CDR20291_0132,284.78,300.79,352.63,194.78,303.52,318.88
gene-CDR20291_0133,297.21,337.09,362.86,335.4,617.24,488.45
gene-CDR20291_0134,126.56,124.43,157.51,34.96,42.34,55.32
gene-CDR20291_0135,81.91,79.83,75.56,29.03,46.15,46.41
gene-CDR20291_0136,210.7,232.37,238.32,260.75,346.23,322.37
gene-CDR20291_0137,29.23,27.06,44.47,70.32,80.21,97.43
gene-CDR20291_0138,85.74,67.79,73.11,126.96,151.49,142.23
gene-CDR20291_0139,28.29,43.51,37.59,45.12,60.85,38.2
gene-CDR20291_0140,41.95,70.24,50.06,54.72,80.93,73.96
gene-CDR20291_0141,32264.17,31832.13,33192.32,28953.88,47272.89,40955.02
gene-CDR20291_0142,19569.72,20236.4,22720.14,18747.09,21526.16,19341.09
gene-CDR20291_0143,10148.83,10160.76,11591.95,9773.44,11490.3,10510.41
gene-CDR20291_0144,2149.81,2370.06,2664.9,2348.5,2619.64,2358.68
gene-CDR20291_0145,3127.22,3138.69,3544.43,4030.4,4661.32,4142.07
gene-CDR20291_0146,22170.14,20847.42,24335.53,35429.27,42876.55,36389.32
gene-CDR20291_0147,921.6,1126.42,1173.54,1665.25,1959.87,1827.35
gene-CDR20291_0148,693.17,801.96,877.54,1177.65,1404.01,1345.02
gene-CDR20291_0149,1669.23,1906.99,1999.23,2663.94,3259.13,3010.01
gene-CDR20291_0150,955.57,924.31,1069.76,1962.48,2197.47,2085.9
gene-CDR20291_0151,3491.43,3515.34,3826.79,6678.36,7990.38,7438.53
gene-CDR20291_0152,8943.13,9664.72,10415.84,8573.31,11252.07,9939.12
gene-CDR20291_0153,496.34,492.02,596.32,535.84,577.5,502.98
gene-CDR20291_0154,2408.09,2406.97,2755.9,2399.27,2914.77,2593.52
gene-CDR20291_0155,2007.08,2070,2274.55,2013.65,2122.32,1916.28
gene-CDR20291_0156,129.16,176.03,204.64,140.48,205.77,174.77
gene-CDR20291_0157,101.52,101.46,141.61,161.88,186.07,148.68
gene-CDR20291_0158,6,10.42,5,14.3,13.25,12.66
gene-CDR20291_0159,114.64,106.15,151.31,92.7,112.61,105.67
gene-CDR20291_0160,155.17,200.88,225.8,109.08,171.3,140.31
gene-CDR20291_0161,189.5,203.4,232.94,105.01,147.39,114.24
gene-CDR20291_0162,63.86,68.93,92.4,24.47,64.88,37.23
gene-CDR20291_0163,1000.91,1018.2,1161.37,862.91,976.46,862.84
gene-CDR20291_0164,16.6,19.94,16.94,28.61,20.13,26.54
gene-CDR20291_0165,52.37,66.39,69.15,138.33,205.48,197.4
gene-CDR20291_0166,46.24,43.69,34.73,119.76,157.56,129.23
gene-CDR20291_0167,219.68,235.02,247.85,304.78,418.61,367.57
gene-CDR20291_0168,173.56,208.84,182.7,163.69,269.57,250.17
gene-CDR20291_0169,2301.83,2234.1,2800.65,3859.43,4955.48,4365.83
gene-CDR20291_0170,3222.05,3417.09,3608.95,4895.08,5858.14,5181.98
gene-CDR20291_0171,13085.75,12594.5,13496.69,17939.06,22122.73,18619.2
gene-CDR20291_0172,1477.33,1359.26,1490.39,1189.64,1635.11,1441.78
gene-CDR20291_0173,24108.79,22732.58,22003.35,33148.09,38100.64,33543.75
gene-CDR20291_0174,1856.25,2006.12,1944.17,1242.08,1501.05,1356.01
gene-CDR20291_0175,172587.95,171729.92,164112.7,276209.41,334342.88,288658.81
gene-CDR20291_0176,18316.76,17776.92,17929.07,34562.99,38627.94,33504.27
gene-CDR20291_0177,104663.75,108695.97,104906.77,148051.19,215911.12,185360.42
gene-CDR20291_0178,8410.44,9159.12,10334.56,11381.7,15371.58,14618.7
gene-CDR20291_0179,91.02,66.56,97.85,86.29,133.46,122
gene-CDR20291_0180,95190.38,92567.88,100082.73,67626.67,90201.95,84241.84
gene-CDR20291_0181,51.47,50.53,51.72,89.16,116.9,93.62
gene-CDR20291_0182,500.27,606.36,698.64,299.82,397.55,426.35
gene-CDR20291_0184,6221.17,6743.33,7117.88,5865.15,6773.47,5917.33
gene-CDR20291_0185,4340.91,4786.81,5118.42,16075.38,19180.31,18045.22
gene-CDR20291_0186,1914.64,1813.57,2030,7243.97,7955.34,7512
gene-CDR20291_0187,3113.62,3005.53,3402.83,13340.09,14313.86,13237.72
gene-CDR20291_0188,1484.97,1327.5,1618.96,5633.9,5136.16,4798.06
gene-CDR20291_0189,2239.36,2200.69,2169.01,2168.35,3191.05,2755.76
gene-CDR20291_0190,1041.4,1266.65,1209.14,1553.09,2326,2028.14
gene-CDR20291_0191,170.71,231.83,211.99,740.18,901.34,813.98
gene-CDR20291_0192,5223.76,5637.51,5455.19,5657.04,6978.53,6090.48
gene-CDR20291_0193,6047.93,6012.79,6993.91,7941.07,9681.01,8763.53
gene-CDR20291_0194,1971.38,1782.55,2069.65,2926.06,3137.63,2862.65
gene-CDR20291_0195,29392.53,28001.87,31079.34,46494.69,52012.95,48208.02
gene-CDR20291_0196,509.5,463.3,540.92,831.02,950.42,856.91
gene-CDR20291_0198,20074.6,19986.91,22914.76,23228.14,27027.05,23819.96
gene-CDR20291_0199,2952.44,3227.07,3483.41,3140.27,3692.25,3198.08
gene-CDR20291_0200,366.55,393.29,381.08,983.07,1159.32,1075.32
gene-CDR20291_0201,146.48,199.85,160.5,455.44,592.11,473.53
gene-CDR20291_0202,151.31,156.12,185.11,411.29,535.95,490.98
gene-CDR20291_0203,105.61,118.99,152.41,87.24,191.24,179.55
gene-CDR20291_0204,4368.33,5439.27,5504.29,4044.37,5936.69,5052.87
gene-CDR20291_0205,1347.41,1424.33,1638.04,3325.87,4367.86,4154.41
gene-CDR20291_0206,21.64,33,31.1,55.86,74.6,57.93
gene-CDR20291_0207,8.13,8.92,13.51,23.31,23,25.26
gene-CDR20291_0208,42.84,25.44,50.68,99.79,141.03,88.11
gene-CDR20291_0209,4.86,7.38,2.31,12.32,13.38,15.59
gene-CDR20291_0210,29.02,22.62,31,74.85,131.23,137.75
gene-CDR20291_0211,45.44,51.46,58.8,240.27,299.41,259.24
gene-CDR20291_0212,70.63,49.37,74.51,126.08,180.97,194.61
gene-CDR20291_0213,30.6,24.93,29.92,54.8,73.82,81.94
gene-CDR20291_0214,134.59,156.19,170.02,167.85,224.09,194.34
gene-CDR20291_0215,2905.69,2939.73,3289.06,8270.06,10095.03,9606.71
gene-CDR20291_0216,3529.8,3457.23,4194.02,10018.14,12077.48,11476.88
gene-CDR20291_0217,6993.22,6360.51,8000.3,19036.36,21086,19589.62
gene-CDR20291_0218,6140.59,5082.37,6891.43,15314.6,16485.56,15123.01
gene-CDR20291_0219,2219.88,2113.42,2585.28,5015.67,5539.28,5180.19
gene-CDR20291_0220,7737.31,6674.18,8975.3,12142.99,14114.53,13711.18
gene-CDR20291_0221,9517.75,7829.67,10665.65,13626.96,15422.74,14929.31
gene-CDR20291_0222,62234.49,52528.66,67389.91,71629.91,82900.77,79263.84
gene-CDR20291_0223,388.9,471.02,459.66,553.09,696.45,651.8
gene-CDR20291_0224,409.55,405.43,468.9,645.55,687.68,604.73
gene-CDR20291_0225,280.26,337.58,337.53,454.22,526.22,445.49
gene-CDR20291_0226,697.37,750.76,836.65,905.14,1140.69,966.83
gene-CDR20291_0227,778.65,861.11,852,660.65,817.26,732.5
gene-CDR20291_0228,482.83,460.42,516.9,447.25,505.25,456.5
gene-CDR20291_0229,244.76,280.11,268.9,227.13,282.96,245.99
gene-CDR20291_0230,37.21,24.23,37.34,57.87,57.6,48.87
gene-CDR20291_0231,102.99,125.64,124.31,138.84,212.16,164.73
gene-CDR20291_0232,864.52,820.51,988.53,966.78,1269.51,1143.35
gene-CDR20291_0233,708.77,694.98,798.85,683.38,913.34,773.83
gene-CDR20291_0234,203.36,219.16,261.49,220.84,302.59,245.1
gene-CDR20291_0235,34.68,49.61,47.34,56.77,49.84,46.72
gene-CDR20291_0236,223.37,202.3,255.63,273.53,287.02,282.7
gene-CDR20291_0237,112.13,127.77,158.66,143.73,173.38,176.88
gene-CDR20291_0238,1437.19,1662.07,1799.03,1921.81,2360.62,2088.53
gene-CDR20291_0239,137.28,154.32,182.28,186.54,242.24,201.29
gene-CDR20291_0240,4017.83,4215.29,4414.14,5814.5,7258.47,6436.03
gene-CDR20291_0241,136.71,130.53,174.75,291.44,475.43,404.4
gene-CDR20291_0242,279.47,288.08,351.89,462.62,626.93,534.05
gene-CDR20291_0243,335.48,342.73,393.11,547.34,743.63,665.96
gene-CDR20291_0244,130.28,163.9,181.17,190.33,266.4,241.38
gene-CDR20291_0245,393.26,472.27,457.85,406.67,663.6,561.36
gene-CDR20291_0246,627.66,732.68,736.04,867.88,1039.8,985.34
gene-CDR20291_0247,539.56,650.35,628.52,964.74,1335.6,1246.93
gene-CDR20291_0248,71.08,88.95,81.33,126.17,204.88,174.2
gene-CDR20291_0249,139.77,158.76,142.85,332.88,533.25,460.67
gene-CDR20291_0250,99.73,126.77,114.15,161.2,292.69,232.13
gene-CDR20291_0251,1082.93,1298.34,1214.62,2159.73,3633.87,3328.24
gene-CDR20291_0252,2796.89,3420.34,3389.46,5046.94,9106.53,8347.89
gene-CDR20291_0253,1085.08,1624.93,1557.92,1995.96,3264.96,2962.39
gene-CDR20291_0254,130.27,121.86,158.92,302.96,357.21,332.24
gene-CDR20291_0255,13.94,16.51,19.01,25.32,37.74,40.05
gene-CDR20291_0256,51.49,59.06,64.68,67.18,83.05,82.51
gene-CDR20291_0257,35.65,47.38,48.52,100.26,92.19,96.24
gene-CDR20291_0258,162.3,176.48,204.95,311.22,305.37,280.5
gene-CDR20291_0259,23.82,24.25,28.93,36.02,33.56,40.15
gene-CDR20291_0260,124.89,126.47,173.9,217.46,236.94,217.18
gene-CDR20291_0261,110.51,112.23,131.6,217.9,240.81,255.83
gene-CDR20291_0262,32.11,34.88,51.21,87.03,111.56,95.23
gene-CDR20291_0263,15.51,28,26.65,29.76,68.65,51.62
gene-CDR20291_0264,102.76,113.9,110.33,282.86,333,304.28
gene-CDR20291_0265,31.59,33.31,41.84,77.16,99.96,89.82
gene-CDR20291_0266,217.06,253.38,265.86,539.15,657.4,598.76
gene-CDR20291_0267,372.43,406.78,456.47,598.87,754.45,658.49
gene-CDR20291_0268,118.79,127.3,132.74,154.87,223.79,174.06
gene-CDR20291_0269,154.96,169.29,171.63,215.09,248.57,238.46
gene-CDR20291_0270,39.35,40.06,39.38,51.32,59.13,69.42
gene-CDR20291_0271,26.5,34.99,24.57,23.61,32.56,36.58
gene-CDR20291_0272,248.06,233.04,223.45,289.87,307.92,277.22
gene-CDR20291_0273,273.95,284.44,295.06,301.4,414.8,332.61
gene-CDR20291_0274,241.83,255.36,267.76,260.06,314.64,304.36
gene-CDR20291_0275,102.67,97.42,108.78,101.49,146.32,105.24
gene-CDR20291_0276,152.78,186,187.2,193.07,220.65,218.01
gene-CDR20291_0277,1944.62,2129.03,2401.47,4192.05,5242.1,4673.67
gene-CDR20291_0278,2908.07,3027.02,3218.47,2486.1,3655.5,3265.53
gene-CDR20291_0279,2474.08,2424.67,2572.56,2230.99,2982.17,2630.25
gene-CDR20291_0280,584.22,639.78,687.41,906.95,1292.72,1200.19
gene-CDR20291_0281,238.03,280.07,276.69,399.52,587.31,545.23
gene-CDR20291_0282,346.71,433.21,401.94,934.2,1200.3,1051.89
gene-CDR20291_0283,7893.4,8391.25,7862.29,3783.1,5586.58,4909.14
gene-CDR20291_0284,84.07,84.91,118.45,24.16,60.89,73.48
gene-CDR20291_0285,4333.83,4632.95,5329.57,12687.66,16716.74,14862.81
gene-CDR20291_0286,1856.79,2079.5,2256.94,4601.06,5575.44,4939.17
gene-CDR20291_0287,4051.23,4231.62,4690.87,9696.82,10927.21,9734.18
gene-CDR20291_0288,2473.92,2384.81,3184.6,5953.21,6664.49,5933.5
gene-CDR20291_0289,2884.41,2730.75,3580.54,6476.85,7825.14,7029.64
gene-CDR20291_0290,6188.84,6230.98,8467.98,15967.46,20308.48,18240.86
gene-CDR20291_0291,14214.92,14376.2,19647.61,35021.32,45314.93,40188.2
gene-CDR20291_0292,34964.37,36154.48,48149.08,77475.08,100363.35,89219.16
gene-CDR20291_0293,36024.41,34589.55,43487.68,64062.15,77613.74,67970.33
gene-CDR20291_0294,3975.51,4017.79,5391.72,8116.35,9000.48,8028.73
gene-CDR20291_0295,482.31,469.7,412,544.03,709.84,670.99
gene-CDR20291_0296,289,290.96,287.7,348.57,434.86,427.69
gene-CDR20291_0297,318.08,346.12,349.09,266.82,449.79,411.09
gene-CDR20291_0298,6936.61,7319.58,7369.14,7709.58,9761.71,8368.92
gene-CDR20291_0299,1194.33,1243.05,1432.96,1304.99,1648.16,1439.01
gene-CDR20291_0300,2529.2,2446.3,2661.28,974.07,1221.65,1237.27
gene-CDR20291_0301,9221.46,9491.52,10464.81,4332.46,7316.07,6212.31
gene-CDR20291_0302,5081.46,5671.75,6327.59,2416.19,3066.33,2874.37
gene-CDR20291_0303,7325.68,8415.58,8925.21,1747.27,2382.17,2153.8
gene-CDR20291_0304,5102.24,6039.99,7010.63,1221.06,1635.86,1647.02
gene-CDR20291_0305,2307.64,2811.33,3302.85,559.28,906.32,871.13
gene-CDR20291_0306,3657.99,4337.52,5176.16,1088.81,1717.88,1520.04
gene-CDR20291_0307,3237.09,3642.16,4307.93,1029.1,1365.47,1150.16
gene-CDR20291_0308,727.32,764.54,875.79,616.26,868.97,827.09
gene-CDR20291_0309,304.57,394.48,358.99,896.48,1175.38,1057.79
gene-CDR20291_0310,347.82,371.57,418.91,1402.32,1818.13,1567.13
gene-CDR20291_0311,846.21,982.93,1091.07,781.62,1189.56,1058.46
gene-CDR20291_0312,1943.7,1864.79,2037.03,2177.32,2452.99,2104.38
gene-CDR20291_0313,1297.93,1418.23,1461.16,1441.34,1725.46,1486.24
gene-CDR20291_0314,3665.06,4255.12,3996.28,3286.95,4319.01,3810.32
gene-CDR20291_0315,369.66,341.54,459.07,809.97,937.23,889.78
gene-CDR20291_0316,932.61,1037.66,1052.4,1435.6,1805.88,1589.06
gene-CDR20291_0317,2452.97,2193.94,2538.54,8471.11,9341.36,8955.02
gene-CDR20291_0318,32447.1,29511.58,31692.4,70107.59,82783.85,76881.94
gene-CDR20291_0319,183.69,184.93,221.58,393.74,572.44,543.39
gene-CDR20291_0320,87.97,84.15,105.27,276.33,391.67,390.7
gene-CDR20291_0321,1315.37,1426.21,1423.17,3711.99,4807.31,4321.71
gene-CDR20291_0322,1274.04,1363.43,1448.5,3659.94,4943.78,4393.78
gene-CDR20291_0323,1756.1,1866.64,2078.27,6072.9,7450.38,6750.85
gene-CDR20291_0324,688.11,765.93,812.76,1822.43,2391.86,2086.63
gene-CDR20291_0325,501.64,627.89,582.3,1565.38,1970.94,1703.22
gene-CDR20291_0326,27.03,22.15,34.11,86.97,91.36,90.85
gene-CDR20291_0327,646.63,696.93,701.06,1041.81,1266.2,1205.99
